SKN,Station.Name,Observer,Network,Island,ELEV.m.,LAT,LON,NCEI.id,NWS.id,NESDIS.id,SCAN.id,SMART_NODE_RF.id
161,Puakea,PARKER RANCH,STATE,BI,174,20.23192759,-155.8705435,NA,NA,NA,NA,NA
162,Station 2,KOHALA SUGAR,STATE,BI,91,20.25359135,-155.8605433,NA,NA,NA,NA,NA
162.1,Kokoiki,KAHUA RANCH,STATE,BI,174,20.24025983,-155.8555438,NA,NA,NA,NA,NA
162.2,Station 25,KOHALA SUGAR,STATE,BI,191,20.23859325,-155.8438777,NA,NA,NA,NA,NA
163,Station 15,KOHALA SUGAR,STATE,BI,259,20.22526153,-155.8588774,NA,NA,NA,NA,NA
164,Station 9,KOHALA SUGAR,STATE,BI,424,20.21026252,-155.8372119,NA,NA,NA,NA,NA
164.1,Puakea 13 #33,KOHALA SUGAR,STATE,BI,354,20.20165266,-155.8547112,NA,NA,NA,NA,NA
164.2,Station 34,KOHALA SUGAR,STATE,BI,454,20.20859638,-155.8505446,NA,NA,NA,NA,NA
165,Station 4,KOHALA SUGAR,STATE,BI,91,20.2535914,-155.8405441,NA,NA,NA,NA,NA
166,Station 14,KOHALA SUGAR,STATE,BI,38,20.26192353,-155.8388773,NA,NA,NA,NA,NA
167,Puuokumau,KOHALA SUGAR,STATE,BI,549,20.19526362,-155.833879,NA,NA,NA,NA,NA
168,HAWI 168,KOHALA SUGAR,COOP,BI,183,20.23692665,-155.8272119,USC00511339,NA,NA,NA,NA
168.1,Station 26,KOHALA SUGAR,STATE,BI,198,20.23026042,-155.8138794,NA,NA,NA,NA,NA
170,Puuhue,PARKER RANCH,STATE,BI,576,20.17026583,-155.832213,NA,NA,NA,NA,NA
171,Station 5,KOHALA SUGAR,STATE,BI,130,20.2435927,-155.8238787,NA,NA,NA,NA,NA
172,Station 17,KOHALA SUGAR,STATE,BI,442,20.20692935,-155.8338788,NA,NA,NA,NA,NA
173,Station 16,KOHALA SUGAR,STATE,BI,137,20.23692653,-155.8155458,NA,NA,NA,NA,NA
174,Station 6,KOHALA SUGAR,STATE,BI,58,20.25192483,-155.8072126,NA,NA,NA,NA,NA
174.1,Kohala Parsonage,OSTROM REV A,STATE,BI,107,20.24692562,-155.8138791,NA,NA,NA,NA,NA
174.3,Kapua Gulch #31,KOHALA SUGAR,STATE,BI,53,20.25248038,-155.8119346,NA,NA,NA,NA,NA
175.1,KOHALA MISSION 175.1,BOND ESTATE,COOP,BI,163,20.2252605,-155.7922137,USC00514680,NA,NA,NA,NA
176,Kohala Maulili,KOHALA SUGAR,STATE,BI,293,20.20859492,-155.7855476,NA,NA,NA,NA,NA
176.1,Kehena Res,KOHALA SUGAR,STATE,BI,768,20.16359891,-155.800548,NA,NA,NA,NA,NA
176.2,Homestead Plant,HC AUSTIN,STATE,BI,412,20.20859568,-155.8272124,NA,NA,NA,NA,NA
176.3,Kahua Ranch HQ,KAHUA RANCH,HydroNet-UaNet,BI,987.552,20.1249008,-155.7884,NA,KASH1,15D293C2,NA,NA
177,Station 8,KOHALA SUGAR,STATE,BI,30,20.24025866,-155.7722141,NA,NA,NA,NA,NA
178,Headquarters,KAHUA RANCH,STATE,BI,988,20.12610167,-155.7888826,NA,NA,NA,NA,NA
178.1,Station 21,KOHALA SUGAR,STATE,BI,564,20.19192986,-155.8055471,NA,NA,NA,NA,NA
178.11,#4 WB-Kahua,KAHUA RANCH,STATE,BI,1166,20.12554592,-155.7774941,NA,NA,NA,NA,NA
178.12,PONOHOLO RCH 178.11,PONOHOLO RCH 178.11,COOP,BI,762,20.12554592,-155.7774941,USC00518101,NA,NA,NA,NA
178.2,Twin Reservoir,KOHALA DITCH,STATE,BI,573,20.18359693,-155.7872148,NA,NA,NA,NA,NA
178.3,Kalope,KAHUA RANCH,STATE,BI,1037,20.07527132,-155.7638841,NA,NA,NA,NA,NA
178.4,Halawa,PATTON MRS WC,STATE,BI,137,20.23025914,-155.7638813,NA,NA,NA,NA,NA
178.5,Puuhue Ranch,WOODS SP,STATE,BI,565,20.17193242,-155.8338796,NA,NA,NA,NA,NA
178.6,Waikanonoula,KAHUA RANCH,STATE,BI,1168,20.12526817,-155.7777719,NA,NA,NA,NA,NA
178.7,Kalahikiola,KAHUA RANCH,STATE,BI,841,20.14693375,-155.8038817,NA,NA,NA,NA,NA
178.8,Puu Aiea,KAHUA RANCH,STATE,BI,930,20.12193553,-155.7994379,NA,NA,NA,NA,NA
178.9,Puu Kaakihi,KAHUA RANCH,STATE,BI,768,20.13665693,-155.8122148,NA,NA,NA,NA,NA
179,Niulii,KOHALA SUGAR,STATE,BI,23,20.22192578,-155.7438821,NA,NA,NA,NA,NA
179.1,Kohala,KOHALA SUGAR,STATE,BI,95,20.23025973,-155.7788808,NA,NA,NA,NA,NA
179.3,POLOLU LOOKOUT 179.3,POLOLU LOOKOUT 179.3,COOP,BI,149,20.20694,-155.73778,USC00518086,NA,NA,NA,NA
180.1,Station 18,KOHALA SUGAR,STATE,BI,130,20.21526056,-155.7655482,NA,NA,NA,NA,NA
181,Makapala Nursery,STATE DIV FTRY,STATE,BI,494,20.18359648,-155.7622156,NA,NA,NA,NA,NA
181.1,Honokane,KOHALA DITCH,STATE,BI,244,20.14526612,-155.7305504,NA,NA,NA,NA,NA
181.2,Kehena,KOHALA DITCH,STATE,BI,1171,20.11860157,-155.7488837,NA,NA,NA,NA,NA
182,Station 12,KOHALA SUGAR,STATE,BI,305,20.19526187,-155.7505491,NA,NA,NA,NA,NA
182.1,Awini,KOHALA DITCH,STATE,BI,570,20.16859722,-155.7122172,NA,NA,NA,NA,NA
183,Station 19,KOHALA SUGAR,STATE,BI,287,20.19526181,-155.7472159,NA,NA,NA,NA,NA
183.1,Puu Ahia,KAHUA RANCH,STATE,BI,1329,20.09193666,-155.7455507,NA,NA,NA,NA,NA
183.2,East Honokane,KOHALA DITCH,STATE,BI,1293,20.10693559,-155.7105514,NA,NA,NA,NA,NA
183.3,Station 30,KOHALA SUGAR,STATE,BI,241,20.20359461,-155.7572154,NA,NA,NA,NA,NA
183.9,Keawewai Fort Fn,DOWALD,STATE,BI,1436,20.08749249,-155.7361066,NA,NA,NA,NA,NA
184.1,Kaukini,KOHALA DITCH,STATE,BI,622,20.15859804,-155.6922177,NA,NA,NA,NA,NA
184.2,Awini Ranch,AWINI RANCH,STATE,BI,335,20.18026269,-155.7138836,NA,NA,NA,NA,NA
185,Kawainui Upper,HAWN IRRIG,STATE,BI,1244,20.08360377,-155.6772192,NA,NA,NA,NA,NA
185.3,Honokane-P Ranch,PARKER RANCH,STATE,BI,229,20.13026775,-155.6305525,NA,NA,NA,NA,NA
185.4,Upp Hamakua Dit,USGS,USGS,BI,1226,20.08443705,-155.6749971,NA,NA,NA,NA,NA
185.5,WaimanuRaingagenearKamuela,USGS,USGS,BI,4.572,20.13443333,-155.6397194,NA,NA,NA,NA,NA
185.7,KawainuiRainGagenearKamuela,USGS,USGS,BI,1237.488,20.08533333,-155.6811667,NA,KWSH1,DDF6A592,NA,NA
189,Waimea Plain,SCAN,SCAN,BI,927,20.01666667,-155.6,NA,NA,NA,2099,NA
190,Alakahi Upper,HAWN IRRIG,STATE,BI,1177,20.070081,-155.669952,NA,NA,NA,NA,NA
190.11,Alakahi,DOWALD,STATE,BI,1088,20.06943785,-155.6697196,NA,NA,NA,NA,NA
190.4,Keanuiomano Str,USGS,USGS,BI,735,20.02749611,-155.6980529,NA,NA,NA,NA,NA
190.5,Waikoloa Res,DOWALD,STATE,BI,1009,20.03805076,-155.6755531,NA,NA,NA,NA,NA
190.7,Kohakohau 8,USGS,USGS,BI,780,20.02638493,-155.6869419,NA,NA,NA,NA,NA
190.8,Alakahi-P Ranch,PARKER RANCH,STATE,BI,1232,20.07332656,-155.6758305,NA,NA,NA,NA,NA
190.9,High Pressure,PARKER RANCH,STATE,BI,1296,20.08138167,-155.686108,NA,NA,NA,NA,NA
191,WAIMEA KOHALA AIRPORT,HAWN AIRLINES,NWS,BI,813,19.99694201,-155.6738868,USC00513078,NA,NA,NA,NA
191.1,LALAMILO FLD OF 191.1,DOWALD,COOP,BI,799,20.01083015,-155.6763867,USC00515260,NA,NA,NA,NA
191.3,Lalamilo Reserv,DOWALD,STATE,BI,807,20.01305219,-155.6713867,NA,NA,NA,NA,NA
191.4,Lalamilo Farm,UH EXP STA,STATE,BI,799,20.01916302,-155.6769421,NA,NA,NA,NA,NA
191.5,Lalamilo 24,DOWALD,STATE,BI,759,20.005275,-155.6916643,NA,NA,NA,NA,NA
191.6,Lalamilo 35,DOWALD,STATE,BI,726,20.01944098,-155.6958308,NA,NA,NA,NA,NA
192,Waimea,PARKER RANCH,STATE,BI,838,20.02527342,-155.6588867,NA,NA,NA,NA,NA
192.1,Puu Kapu A&F,STATE DIV FTRY,STATE,BI,875,20.03027288,-155.6405534,NA,NA,NA,NA,NA
192.2,Kamuela,PARKER RANCH,STATE,BI,814,20.02027391,-155.66722,NA,NA,NA,NA,NA
192.3,Range 1,PARKER RANCH,STATE,BI,701,19.99694241,-155.7138864,NA,NA,NA,NA,NA
192.4,Holoholuku 1,PARKER RANCH,STATE,BI,995,19.97360943,-155.635554,NA,NA,NA,NA,NA
192.6,Waimea Res,DOWALD,STATE,BI,905,20.04860537,-155.6222202,NA,NA,NA,NA,NA
192.7,Kamuela Upper,NWS,HydroNet-UaNet,BI,948.5376,20.0319996,-155.6667,USC00513080,KUUH1,817075F6,NA,NA
192.9,PUUKAPU HMSTD 192.9,COOP,COOP,BI,916,20.0375,-155.6347,USC00518386,NA,NA,NA,NA
193,KAWAINUI LOWER 193,HAWN IRRIG,COOP,BI,329,20.08360384,-155.6438866,USC00513770,NA,NA,NA,NA
194,Alakahi Lower,HAWN IRRIG,STATE,BI,256,20.07360432,-155.6388867,NA,NA,NA,NA,NA
194.1,Waikoloa Str,USGS,USGS,BI,1091,20.05193868,-155.6638867,NA,NA,NA,NA,NA
194.2,Kohala Mt Pipe L,PARKER RANCH,STATE,BI,1128,20.08027061,-155.6472199,NA,NA,NA,NA,NA
195,Koiawe Upper,HAWN IRRIG,STATE,BI,1021,20.05193846,-155.6438869,NA,NA,NA,NA,NA
195.1,Koiawe,DOWALD,STATE,BI,976,20.05721609,-155.634998,NA,NA,NA,NA,NA
196,KOIAWE LOWER 196,HAWN IRRIG,COOP,BI,220,20.07527098,-155.6305534,USC00514685,NA,NA,NA,NA
197,Waima Lower,HAWN IRRIG,STATE,BI,299,20.06527141,-155.6238869,NA,NA,NA,NA,NA
198,Muliwai,STATE DIV FTRY,STATE,BI,393,20.13193441,-155.6138861,NA,NA,NA,NA,NA
199,KUKUIHAELE HIC 199,HONOKAA SUGAR,COOP,BI,299,20.11526922,-155.5822202,USC00514928,NA,NA,NA,NA
200,Puu Alala,HAWN IRRIG,STATE,BI,878,20.05860505,-155.6188869,NA,NA,NA,NA,NA
201,Puu Kapu Res 3,HAWN IRRIG,STATE,BI,860,20.03693958,-155.5988871,NA,NA,NA,NA,NA
201.2,KAMUELA 1 201.2,HAES,COOP,BI,878,20.0392,-155.6085,USC00513072,NA,NA,NA,NA
201.3,Kamuela 1,NWS,HydroNet-UaNet,BI,877.824,20.0394993,-155.6084,NA,KMUH1,81706680,NA,NA
202,Lalakea,HONOKAA SUGAR,STATE,BI,596,20.088604,-155.5872204,NA,NA,NA,NA,NA
202.1,Field 114,HONOKAA SUGAR,STATE,BI,477,20.09693675,-155.5705539,NA,NA,NA,NA,NA
203,Second Gate,PARKER RANCH,STATE,BI,872,20.03860634,-155.5872205,NA,NA,NA,NA,NA
203.1,Kamoku,HAWN HOMELANDS,STATE,BI,854,20.04360641,-155.5588876,NA,NA,NA,NA,NA
203.2,Puu Pulehu Res,DOWALD,STATE,BI,841,20.03943944,-155.6005537,NA,NA,NA,NA,NA
203.3,Puukapu FC Dam,DOWALD,STATE,BI,866,20.03916168,-155.5999982,NA,NA,NA,NA,NA
204,Puu Kikoni,PARKER RANCH,STATE,BI,951,20.00527497,-155.5772207,NA,NA,NA,NA,NA
204.2,Puu Kapu,HAWN HOMELANDS,STATE,BI,947,19.99833055,-155.5997205,NA,NA,NA,NA,NA
204.3,PUUKAPU 204.3,COOP,COOP,BI,988,19.983,-155.6,USC00518384,NA,NA,NA,NA
205,Kukuihaele Vill,HONOKAA SUGAR,STATE,BI,229,20.11693552,-155.5672204,NA,NA,NA,NA,NA
206,Kukuihaele Landg,DAVIS HAMAKUA SUGAR,STATE,BI,91,20.12526779,-155.5588871,NA,NA,NA,NA,NA
206.1,KUKUIHAELE 206.1,COOP,COOP,BI,226,20.12167,-155.57417,USC00514927,NA,NA,NA,NA
207,Ahualoa Homestds,HAWN IRRIG,STATE,BI,777,20.04916167,-155.5105551,NA,NA,NA,NA,NA
208,Waikoloa Stream,HONOKAA SUGAR,STATE,BI,297,20.10249152,-155.5444431,NA,NA,NA,NA,NA
208.1,Honokaa HI US E6549-AH6AE ,unknown,APRSWXNET,BI,310.01,20.101,-155.531,NA,E6549,NA,NA,NA
209,Anuenue,HONOKAA SUGAR,STATE,BI,448,20.09193655,-155.5311101,NA,NA,NA,NA,NA
210,Kapulena,HONOKAA SUGAR,STATE,BI,280,20.09776916,-155.5188882,NA,NA,NA,NA,NA
211,Reservoir 13,HONOKAA SUGAR,STATE,BI,462,20.08304812,-155.5138886,NA,NA,NA,NA,NA
211.2,Fld 11 Honokaa,SCS-ARS,STATE,BI,561,20.07304887,-155.5038889,NA,NA,NA,NA,NA
212,First Gate,PARKER RANCH,STATE,BI,771,20.04860618,-155.5138884,NA,NA,NA,NA,NA
212.1,Nienie Lee,HHL,STATE,BI,837,20.0419399,-155.5105551,NA,NA,NA,NA,NA
213,Kawela,DAVIS HAMAKUA SUGAR,STATE,BI,119,20.105095,-155.49683,NA,NA,NA,NA,NA
213.1,New Stable,HONOKAA SUGAR,STATE,BI,343,20.09026947,-155.5000003,NA,NA,NA,NA,NA
214,HAINA 214,HONOKAA SUGAR,COOP,BI,140,20.09193527,-155.4738903,USC00510840,NA,NA,NA,NA
215,HONOKAA TOWN 215,HONOKAA SUGAR,COOP,BI,326,20.08026947,-155.4672231,USC00511856,NA,NA,NA,NA
215.1,Honokaa Mauka,HAWN TEL CO,STATE,BI,360,20.07388088,-155.4588894,NA,NA,NA,NA,NA
215.2,Honokaa,RICHART MISS N,STATE,BI,579,20.08027035,-155.4972225,NA,NA,NA,NA,NA
215.3,Ahualoa,HONOKAA SUGAR,STATE,BI,559,20.07138223,-155.4958336,NA,NA,NA,NA,NA
215.5,Honokaa,NWS,HydroNet-UaNet,BI,591.9216,20.0656,-155.49,NA,HNKH1,B15047DC,NA,NA
216,Paauhau-P Ranch,PARKER RANCH,STATE,BI,567,20.05527151,-155.4638889,NA,NA,NA,NA,NA
216.1,Paauhau-Grieg,GRIEG TW,STATE,BI,366,20.06360366,-155.4472223,NA,NA,NA,NA,NA
216.2,Paauhau Mauka,PAAUHAU SUGAR,STATE,BI,351,20.0686032,-155.4455557,NA,NA,NA,NA,NA
216.3,Airport-P Sug,PAAUHAU SUGAR,STATE,BI,633,20.04193892,-155.447222,NA,NA,NA,NA,NA
216.4,Pma Plant,PAAUHAU SUGAR,STATE,BI,381,20.06721444,-155.446389,NA,NA,NA,NA,NA
216.5,Field 003,PAAUHAU SUGAR,STATE,BI,280,20.07471374,-155.443056,NA,NA,NA,NA,NA
216.6,HONOKAA 2.5 SSW,HONOKAA 2.5 SSW,CoCoRaHS,BI,757,20.0417,-155.4777,US1HIHI0033,NA,NA,NA,NA
216.7,Field 052,PAAUHAU SUGAR,STATE,BI,671,20.05249432,-155.4791666,NA,NA,NA,NA,NA
216.8,KALOPA 216.8,COOP,COOP,BI,396,20.06111,-155.43528,USC00512982,NA,NA,NA,NA
216.9,HONOKAA 2.7 ESE,HONOKAA 2.7 ESE,CoCoRaHS,BI,333,20.0606,-155.43,US1HIHI0034,NA,NA,NA,NA
217,PAAUHAU 217,PAAUHAU SUGAR,COOP,BI,122,20.08360173,-155.4372236,USC00517204,NA,NA,NA,NA
217.2,PAAUHAU MAUKA 217.2,COOP,COOP,BI,341,20.07306,-155.44722,USC00517209,NA,NA,NA,NA
218,Hamakua Mill,HAMAKUA MILL,STATE,BI,55,20.05027003,-155.3588915,NA,NA,NA,NA,NA
218.1,PAAUILO,PAAUILO,STATE,MA,270,20.063266,-155.3805577,NA,NA,NA,NA,NA
218.2,Field 328,DAVIS HAMAKUA SUGAR,STATE,BI,105,20.06026977,-155.3872241,NA,NA,NA,NA,NA
219,Kukuihaele,SCAN,SCAN,BI,289,20.1,-155.5166667,NA,NA,NA,2102,NA
220,Pma,PAAUHAU SUGAR,STATE,BI,354,20.06860319,-155.4438891,NA,NA,NA,NA,NA
220.1,Kalopa-P Sugar,PAAUHAU SUGAR,STATE,BI,274,20.05193765,-155.4038901,NA,NA,NA,NA,NA
220.2,Pohakea,BLACOW CR,STATE,BI,488,20.03693908,-155.4172228,NA,NA,NA,NA,NA
220.3,Kalopa,PAAUHAU SUGAR,STATE,BI,274,20.05193767,-155.4055566,NA,NA,NA,NA,NA
220.5,Field 015,PAAUHAU SUGAR,STATE,BI,91,20.06749174,-155.4008348,NA,NA,NA,NA,NA
221,PAAUILO 221,HAMAKUA MILL,COOP,BI,244,20.03860487,-155.3688913,USC00517312,NA,NA,NA,NA
221.1,Field 9,HAMAKUA MILL,STATE,BI,305,20.02916121,-155.3605582,NA,NA,NA,NA,NA
221.2,Field 30 (1455),HAMAKUA MILL,STATE,BI,444,20.03360574,-155.3938905,NA,NA,NA,NA,NA
221.3,Hamakua Makai,HSPA,STATE,BI,229,20.04193799,-155.3738912,NA,NA,NA,NA,NA
221.4,Field 30 (2340),HAMAKUA MILL,STATE,BI,713,20.00749664,-155.3883351,NA,NA,NA,NA,NA
221.5,Hamakua,UHAES,STATE,BI,628,20.016386,-155.388056,NA,NA,NA,NA,NA
221.6,PAAUILO 2.5 WSW,PAAUILO 2.5 WSW,CoCoRaHS,BI,576,20.0275,-155.4063,US1HIHI0015,NA,NA,NA,NA
221.7,PAAUILO 2.4 SW,PAAUILO 2.4 SW,CoCoRaHS,BI,613,20.019,-155.3988,US1HIHI0050,NA,NA,NA,NA
222,KUKAIAU 222,HAMAKUA MILL,COOP,BI,256,20.02693892,-155.3422253,USC00514815,NA,NA,NA,NA
222.1,Coffee Plant,KUKAIAU RANCH,STATE,BI,488,20.01360698,-155.3472253,NA,NA,NA,NA,NA
222.2,Kainehe,BLACOW CR,STATE,BI,450,20.02693918,-155.3577805,NA,NA,NA,NA,NA
222.3,Korean Camp,HAMAKUA MILL,STATE,BI,534,20.00860738,-155.3438921,NA,NA,NA,NA,NA
222.4,Paauilo-Notley,NOTLEY C,STATE,BI,76,20.04027122,-155.3625026,NA,NA,NA,NA,NA
222.5,Station 39,HAMAKUA MILL,STATE,BI,579,20.00027466,-155.3272258,NA,NA,NA,NA,NA
222.6,Sugahara Camp,HAMAKUA MILL,STATE,BI,79,20.04027059,-155.3372254,NA,NA,NA,NA,NA
222.7,Field 116,HAMAKUA MILL,STATE,BI,134,20.03166021,-155.325559,NA,NA,NA,NA,NA
222.8,PAAUILO 4.8 SE,PAAUILO 4.8 SE,CoCoRaHS,BI,540,19.996,-155.3179,US1HIHI0043,NA,NA,NA,NA
223,OOKALA 223,LAUPAHOEHOE SUG,COOP,BI,131,20.01527222,-155.2838932,USC00517131,NA,NA,NA,NA
225.1,Veg19,Jon Price,STATE,BI,1179,20.054063,-155.697767,NA,NA,NA,NA,NA
225.11,SimVeg_BI2,Simulated,STATE,BI,22,20.159448,-155.648852,NA,NA,NA,NA,NA
225.2,Veg20,Jon Price,STATE,BI,1643,19.192473,-155.655512,NA,NA,NA,NA,NA
225.3,Veg21,Jon Price,STATE,BI,1647,19.271955,-155.558471,NA,NA,NA,NA,NA
225.4,Veg22,Jon Price,STATE,BI,1591,19.35234,-155.483197,NA,NA,NA,NA,NA
225.5,Veg23,Jon Price,STATE,BI,699,19.339039,-155.133248,NA,NA,NA,NA,NA
225.6,Veg24,Jon Price,STATE,BI,401,19.354805,-155.060398,NA,NA,NA,NA,NA
225.7,Veg25,Jon Price,STATE,BI,451,19.239102,-155.412117,NA,NA,NA,NA,NA
225.8,Veg26,Jon Price,STATE,BI,1591,19.511038,-155.313316,NA,NA,NA,NA,NA
225.9,SimVeg_BI1,Simulated,STATE,BI,68,20.177964,-155.683799,NA,NA,NA,NA,NA
247.1,Veg14,Jon Price,STATE,MA,1241,20.851435,-156.600798,NA,NA,NA,NA,NA
247.2,Veg15,Jon Price,STATE,MA,1172,20.842013,-156.548324,NA,NA,NA,NA,NA
247.3,Veg16,Jon Price,STATE,MA,1184,20.866317,-156.610046,NA,NA,NA,NA,NA
247.5,Veg18,Jon Price,STATE,MA,2051,20.681185,-156.247444,NA,NA,NA,NA,NA
247.6,Veg28,Jon Price,STATE,MA,1996,20.719642,-156.150272,NA,NA,NA,NA,NA
247.7,Veg29,Jon Price,STATE,MA,693,20.867732,-156.569135,NA,NA,NA,NA,NA
247.8,SimVeg_WMaui,Simulated,STATE,MA,1272,20.853384,-156.559063,NA,NA,NA,NA,NA
248,Kanahena,ULUPALAKUA RANCH,STATE,MA,259,20.62681283,-156.4121829,NA,NA,NA,NA,NA
248.1,Papaka,ULUPALAKUA RANCH,STATE,MA,299,20.61459175,-156.3999612,NA,NA,NA,NA,NA
248.2,Keoneoio,ULUPALAKUA RANCH,STATE,MA,3,20.60014856,-156.4199605,NA,NA,NA,NA,NA
249,Makena,ULUPALAKUA RANCH,STATE,MA,3,20.64625562,-156.4424595,NA,NA,NA,NA,NA
249.1,MAKENA GOLF CRS 249.1,MAKE GC,COOP,MA,30,20.6420893,-156.4388486,USC00515842,NA,NA,NA,NA
250,ULUPALAKUA RANCH 250,ULUPALAKUA RANCH,COOP,MA,579,20.648174,-156.398497,USC00518760,NA,NA,NA,NA
250.2,Ulupalakua Ranch,NWS,HydroNet-UaNet,MA,581.5584,20.6487999,-156.3981,NA,ULUH1,8170531A,NA,NA
251,Kanaio,ULUPALAKUA RANCH,STATE,MA,866,20.63125696,-156.3591294,NA,NA,NA,NA,NA
251.1,Luapelani,ULUPALAKUA RANCH,STATE,MA,878,20.63764525,-156.3771843,NA,NA,NA,NA,NA
251.2,SPE House,UlapalakuaRanch,UlapalakuaRanch,MA,614.34,20.6522742,-156.3970579,NA,NA,NA,NA,NA
251.3,HQ / NOAA,UlapalakuaRanch,UlapalakuaRanch,MA,581.52,20.64945173,-156.3981416,NA,NA,NA,NA,NA
251.4,Keonehunehune,UlapalakuaRanch,UlapalakuaRanch,MA,1262.13,20.64937125,-156.3563523,NA,NA,NA,NA,NA
251.5,HQ / ISS,UlapalakuaRanch,UlapalakuaRanch,MA,578.6,20.64881321,-156.3981869,NA,NA,NA,NA,NA
251.6,#3,UlapalakuaRanch,UlapalakuaRanch,MA,827.99,20.65472376,-156.3857771,NA,NA,NA,NA,NA
251.7,Elk,UlapalakuaRanch,UlapalakuaRanch,MA,918.82,20.65637445,-156.3791597,NA,NA,NA,NA,NA
251.8,Papaka 4,UlapalakuaRanch,UlapalakuaRanch,MA,213.75,20.60940906,-156.4010154,NA,NA,NA,NA,NA
251.9,Waihou Old Pen,UlapalakuaRanch,UlapalakuaRanch,MA,1081.64,20.66851582,-156.3666912,NA,NA,NA,NA,NA
252,AUWAHI 252,ULUPALAKUA RANCH,COOP,MA,628,20.62014695,-156.3288529,USC00510175,NA,NA,NA,NA
252.1,Auwahi Makai,UlapalakuaRanch,UlapalakuaRanch,MA,491.57,20.61408157,-156.328775,NA,NA,NA,NA,NA
252.2,Auwahi Mauka,UlapalakuaRanch,UlapalakuaRanch,MA,1188.06,20.64395034,-156.332223,NA,NA,NA,NA,NA
252.3,Maui Meadows,UlapalakuaRanch,UlapalakuaRanch,MA,195.91,20.70052743,-156.4193201,NA,NA,NA,NA,NA
252.4,Makahiku,UlapalakuaRanch,UlapalakuaRanch,MA,512.38,20.68548766,-156.3966647,NA,NA,NA,NA,NA
252.5,Hapakuka,UlapalakuaRanch,UlapalakuaRanch,MA,395.7,20.64405169,-156.4087018,NA,NA,NA,NA,NA
252.6,Kauai 2,UlapalakuaRanch,UlapalakuaRanch,MA,153.57,20.63508201,-156.4238323,NA,NA,NA,NA,NA
252.7,#1 Pen,UlapalakuaRanch,UlapalakuaRanch,MA,796.52,20.642155,-156.383346,NA,NA,NA,NA,NA
252.8,Cornwell,UlapalakuaRanch,UlapalakuaRanch,MA,1526.36,20.675831,-156.345351,NA,NA,NA,NA,NA
252.9,Kanahena,UlapalakuaRanch,UlapalakuaRanch,MA,180.03,20.62899628,-156.4202654,NA,NA,NA,NA,NA
253,AUWAHI HN-141,HaleNet,HaleNet,MA,1166,20.64422222,-156.3420556,NA,NA,NA,NA,NA
253.1,Kaloi,UlapalakuaRanch,UlapalakuaRanch,MA,542.29,20.62396,-156.3861777,NA,NA,NA,NA,NA
253.2,Luapelani,UlapalakuaRanch,UlapalakuaRanch,MA,875.77,20.63777728,-156.3772392,NA,NA,NA,NA,NA
253.3,Papaka,UlapalakuaRanch,UlapalakuaRanch,MA,497.27,20.62748128,-156.3940968,NA,NA,NA,NA,NA
253.4,Pu'uloa,UlapalakuaRanch,UlapalakuaRanch,MA,332.21,20.68097955,-156.4111743,NA,NA,NA,NA,NA
253.5,Lapakuaea,UlapalakuaRanch,UlapalakuaRanch,MA,246.89,20.6731797,-156.4184189,NA,NA,NA,NA,NA
253.6,Haliimaile,UlapalakuaRanch,UlapalakuaRanch,MA,387,20.85108194,-156.3430798,NA,NA,NA,NA,NA
253.7,Cornland 1 Wailuku,UlapalakuaRanch,UlapalakuaRanch,MA,931.19,20.66548481,-156.3780663,NA,NA,NA,NA,NA
253.8,Kuhulu 1,UlapalakuaRanch,UlapalakuaRanch,MA,683.78,20.66858125,-156.3895007,NA,NA,NA,NA,NA
253.9,Pu'u Ouli Bowl,UlapalakuaRanch,UlapalakuaRanch,MA,1589.01,20.66129185,-156.3411417,NA,NA,NA,NA,NA
254,Kahikinui,ULUPALAKUA RANCH,STATE,MA,427,20.62014712,-156.2688556,NA,NA,NA,NA,NA
254.1,Manukahi,ULUPALAKUA RANCH,STATE,MA,1006,20.64070062,-156.2905213,NA,NA,NA,NA,NA
254.2,Kaulaula,ULUPALAKUA RANCH,STATE,MA,1159,20.64264486,-156.312187,NA,NA,NA,NA,NA
254.3,Pu'u Kolu,UlapalakuaRanch,UlapalakuaRanch,MA,296.57,20.60150736,-156.3291261,NA,NA,NA,NA,NA
254.4,Kuhulu 4,UlapalakuaRanch,UlapalakuaRanch,MA,735.19,20.67988254,-156.3862668,NA,NA,NA,NA,NA
254.5,Waikahi,UlapalakuaRanch,UlapalakuaRanch,MA,1389.24,20.68282577,-156.3458781,NA,NA,NA,NA,NA
254.6,"Puuloa 2, Keawekapu",UlapalakuaRanch,UlapalakuaRanch,MA,291.27,20.68550191,-156.4135465,NA,NA,NA,NA,NA
254.7,Waihou,UlapalakuaRanch,UlapalakuaRanch,MA,1438.94,20.66828841,-156.3525879,NA,NA,NA,NA,NA
255,KepuniGulchRainGage,USGS,USGS,MA,225.552,20.6195,-156.2518889,NA,KPNH1,F000D4EA,NA,NA
256,WAIOPAI RANCH 256,HALEAKALA RANCH,COOP,MA,67,20.63014664,-156.2038592,USC00519765,NA,NA,NA,NA
256.1,Puu Kao,HALEAKALA RANCH,STATE,MA,1159,20.66680944,-156.2188587,NA,NA,NA,NA,NA
256.2,Waiopai Ranch 1,HALEAKALA RANCH,STATE,MA,189,20.63292404,-156.212192,NA,NA,NA,NA,NA
257,Nuu,KAUPO RANCH,STATE,MA,8,20.6268139,-156.1738606,NA,NA,NA,NA,NA
